Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
15/10/2013,"Shandara, Garretstown, Dunshaughlin",,Meath,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2011,"66 Airpark Avenue, Stocking Lane, Rathfarnham",,Dublin,"€325,992.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/07/2020,"APT 48, CE NA MARA, DOCKS",,Galway,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2015,"LOWER KEADUE, BURTONPORT, CO DONEGAL",,Donegal,"€112,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2014,"79 THE GALLAN, GRANITEFIELD MANOR, ROCHESTOWN AVE",,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/10/2014,"5 MEADOWBROOK COURT, MAYNOOTH, KILDARE",,Kildare,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2017,"214 ARDILAUN, PORTMARNOCK, DUBLIN",Dublin 13,Dublin,"€535,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/05/2019,"THE SQUARE, KILDYSART, CO. CLARE",,Clare,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2014,"CAHERKEEN, URHAN, BEARA",,Cork,"€157,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2011,"21 Coolnevaun, Stillorgan",,Dublin,"€413,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2017,"34 NORTHUMBERLAND COURT, HADDINGTON RD, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2012,"10 Cul Aitinn, Clybaun Road, Galway",,Galway,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/10/2010,"14 Coill Diarmada, Ara a Laoi, Castledermott",,Kildare,"€90,464.68",No,No,Second-Hand Dwelling house /Apartment,
06/04/2011,"32  Ballytore Road, Rathfarnham Park, Dublin  14",,Dublin,"€585,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2020,"3 Waverly Lawn, Blacklion, Greystones",,Wicklow,"€440,484.58",No,Yes,New Dwelling house /Apartment,
10/10/2014,"35 LIOSAN, SHEEHANS RD, GORTBOY",,Limerick,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2014,"66 CHERRYWOOD GROVE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€262,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/09/2019,"58 Glenheron Park, Glenheron, Greystones",,Wicklow,"€458,151.00",No,Yes,New Dwelling house /Apartment,
16/07/2018,"46 ATLANTIC WAY, ASTORIA RD, BUNDORAN",,Donegal,"€57,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2018,"KILTOGHERT, CARRICK ON SHANNON, CO LEITRIM",,Leitrim,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2015,"33 MOYLARAGH GARDENS, BALBRIGGAN, DUBLIN",,Dublin,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2017,"GLENBEIG, COURTTOWN, CO WEXFORD",,Wexford,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2014,"86 The Garden, Ballymacool, Letterkenny",,Donegal,"€32,550.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2020,"166 LOUISA PARK STATION RD, LEIXLIP, KILDARE",,Kildare,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2015,"61 WOOD DALE GREEN, BALLYCULLEN VIEW, FIRHOUSE DUBLIN 24",Dublin 24,Dublin,"€327,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2019,"CLOONE RD, CLOONE, LEITRIM",,Leitrim,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2021,"THE GLEN, KINSALE, CORK",,Cork,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2014,"8 CUSHLA LAWNS, MONKSLAND, WESTMEATH",,Westmeath,"€146,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2015,"63 FOSTER COURT, GALWAY",,Galway,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2016,"No. 63 The Paddocks, Grantstown Farm, Williamstown Road",,Waterford,"€62,883.22",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/07/2021,"2 QUAY STREET WEST, CAHERCIVEEN, CO KERRY",,Kerry,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2018,"LETTERBEG, GLOSH, BLACKSOD",,Mayo,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2019,"34 Sycamore Drive, Limerick Road, ENNIS",,Clare,"€237,885.45",No,Yes,New Dwelling house /Apartment,
27/07/2017,"27 ABBOTSWOOD MEWS, MONASTERY RD, ROCHESTOWN",,Cork,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/01/2015,"No 4 Amberley Lawn, Grange, Douglas",,Cork,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2015,"14 THE STEEPLES, THE GREEN, GOWRAN",,Kilkenny,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2020,"94 THE CHANDLER, ARRAN QUAY APTS, HAMMOND LANE DUBLIN 7",Dublin 7,Dublin,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2019,"78 AUGHANTEEROE, GORT RD, ENNIS",,Clare,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2012,"'River Cottage', The Burrow, Rosslare Strand",,Wexford,"€428,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2019,"SKEHACRINE, ABBEYSIDE, DUNGARVAN",,Waterford,"€760,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2020,"44 WATER VALE, ROOSKEY, ROSCOMMON",,Roscommon,"€104,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2012,"22 Glendown Park, Templeogue",Dublin 6w,Dublin,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2016,"23 KELLYS BAY INLET, SKERRIES, DUBLIN",,Dublin,"€312,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2014,"53 EASTHAM COURT, BETTYSTOWN, MEATH",,Meath,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2021,"15 Clay Farm Grove, Clay Farm, Leopardstown",Dublin 18,Dublin,"€537,444.93",No,Yes,New Dwelling house /Apartment,
01/11/2011,"13 Upper Beladd, Portlaoise",,Laois,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2014,"APT 75, THE K CLUB, STRAFFAN",,Kildare,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2010,"8 Conabury Hill, Castleblayney",,Monaghan,"€112,450.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/11/2018,"9 Cluain Adain Way, Clonmagadden, Navan",,Meath,"€242,291.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/02/2014,"10 SHANLISS PARK, SANTRY, DUBLIN 9",,Dublin,"€216,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/01/2013,"24 Glendara, Kilteragh, Dooradoyle",,Limerick,"€134,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/08/2014,"2 STIBARSVILLAS, NEWTOWNROAD, WEXFORDTOWN",,Wexford,"€119,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2013,"24 ROCKVILLE COURT, LEITRIM ST, CORK",,Cork,"€62,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2016,"No.31  The Avenue, Robswall, Malahide",,Dublin,"€638,767.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/06/2017,"APT 6, BRUACH NA LAOI, UNION QUAY",,Cork,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2019,"2 Cedarview, Northwood, Santry Demesne",Dublin 9,Dublin,"€453,744.48",No,Yes,New Dwelling house /Apartment,
11/12/2018,"7121 BENBULBEN SUITES, CLARION ROAD, CO SLIGO",,Sligo,"€50,855.66",No,No,Second-Hand Dwelling house /Apartment,
19/03/2021,"10 SPITALFIELDS, THE LIBERTIES, DUBLIN 8",Dublin 8,Dublin,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2011,"Gortnacamdarragh, Aughavas",,Leitrim,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2010,"7 Ormond Court, Nenagh",,Tipperary,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2011,"44 Nutgrove Avenue, Rathfarnham, Dublin",,Dublin,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/05/2014,"PROSPECT, FETHARD, TIPPERARY",,Tipperary,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2015,"APARTMENT 7, 63 GREAT WATER STREET, CO LONGFORD",,Longford,"€6,847.31",No,No,Second-Hand Dwelling house /Apartment,
15/09/2016,"7 JUGBACK CLOSE, SWORDS, DUBLIN",,Dublin,"€220,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/11/2019,"8 The Oaks, Old Grange Wood, Monasterevin",,Kildare,"€232,252.50",No,Yes,New Dwelling house /Apartment,
22/01/2021,"53 FOREST BLVD, RIVERVALLEY, SWORDS",,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/08/2014,"10 BELLGREE DR, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,"€236,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/08/2015,"13 ROCHDALE, HONEY PARK, KILL AVENUE",Dublin 15,Dublin,"€153,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
26/08/2014,"GURRANES, CAHERAGH, DRIMOLEAGUE",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2020,"6 THE WILLOWS, WEIR VIEW, KILKENNY",,Kilkenny,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2020,"9 MARINO PARK, MOUNT MERRION AVE, BLACKROCK",,Dublin,"€765,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"2 CASTLE VILLAGE PARK, CELBRIDGE, KILDARE",,Kildare,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/02/2017,"25 CULRUA, QUEEN ST, PORTLAWN",,Waterford,"€123,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2019,"27 NEWLANDS MANOR DR, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€225,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2017,"77 BROMLEY PARK, DONNYBROOK, DOUGLAS",,Cork,"€325,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
16/10/2019,"126 LANSDOWNE PARK, BALLSBRIDGE, DUBLIN",Dublin 4,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2011,"23 Harvest Way, Wheaton Hall, Drogheda",,Louth,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2015,"8 EXCHANGE HALL, THE EXCHANGE, BELGARD SQ NORTH DUBLIN 24",Dublin 24,Dublin,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2020,"BOHAUN SOUTH, KILLAWALLA, WESTPORT",,Mayo,"€79,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2014,"EMLAGHGATION, BALLYMOTE, SLIGO",,Sligo,"€44,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2011,"Kantara, Upr Albert Road, Glengeary",,Dublin,"€575,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2020,"90 SCRAHAN MEWS, KILLARNEY, KERRY",,Kerry,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2015,"JOHNS ROW, WESTPORT, MAYO",,Mayo,"€139,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2021,"35 LAWRENCE GROVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€692,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2011,"Ballybrazil, New Ross",,Wexford,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2013,"60 Crosforge, Saggart",,Dublin,"€207,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/11/2020,"68 ARD ODONNELL, LETTERKENNY, DONEGAL",,Donegal,"€147,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2016,"3 Bullock Park, Green Road, Carlow",,Carlow,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2016,"Apt. No. 31, Elden, Maryborough Hill",,Cork,"€259,912.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/06/2016,"56 OLDCOURT, GREENFIELDS, BALLINCOLLIG CORK",,Cork,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/08/2021,"1 NA CEITHRE GAOITHE, KNOCKNAPOWER RING, DUNGARVAN",,Waterford,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2012,"MANDALA, DURHAM ROAD, SANDYMOUNT",,Dublin,"€540,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/06/2012,"Apartment 378  Block H, Castleforbes Square, Upper Mayor Street",,Dublin,"€156,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2017,"11 THORMANBY COURT, THORMANBY RD, HOWTH",Dublin 13,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2014,"TONROE, KINCON, BALLINA",,Mayo,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2018,"2 COIS DOIRE, GOREY, CO. WEXFORD",,Wexford,"€77,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
23/02/2018,"78 CLONTARF RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€945,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2018,"15 GLENDALE DR, BRAY, WICKLOW",,Wicklow,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2020,"6 CILL BAN, COLLINS LANE, TULLAMORE",,Offaly,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2018,"21 PORTUMNA RETIREMENT VILLAGE, PORTUMNA, GALWAY",,Galway,"€67,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/10/2020,"81 MOUNT TALLANT AVE, TERENURE, DUBLIN 6W",,Dublin,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2012,"Benamore, Roscrea",,Tipperary,"€84,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/04/2018,"29 CEDAR COURT, MOUNT TALLANT AVE, DUBLIN 6W",,Dublin,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2017,"CO 28 TOWN VIEW, MALLOW, CORK",,Cork,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/03/2015,"7 GRAND CANAL COURT, RIALTO, DUBLIN 8",Dublin 8,Dublin,"€143,200.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2010,"Interests in Grafton St, Sth William St  Brittas Bay, Waterville Kerry",,Dublin,"€23,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2016,"31 CLUAIN DARA, CLONMACKEN, CAHERDAVIN",,Limerick,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2019,"84 RATHGAR ROAD, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€980,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2020,"35 ELDERWOOD AVE, CORK, CORK",,Cork,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2018,"4 CARRIG COURT, FORTUNESTOWN LANE, SAGGART",Dublin 24,Dublin,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2013,"Apt 6  Block A, Howth Junction Court, St. Donaghs Road",,Dublin,"€79,295.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/12/2014,"177 CHURCH HILL, TULLAMORE, OFFALY",,Offaly,"€64,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/04/2019,"70 MARLINSTOWN PARK, MULLINGAR, CO WESTMEATH",,Westmeath,"€125,550.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2020,"7 ASPEN GARDENS, ST PATRICKS RD, LIMERICK",,Limerick,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2019,"BALLYHERNAN, BALLINA, COUNTY MAYY",,Mayo,"€43,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2017,"28 BOHERNAVE, THURLES, CO TIPPERARY",,Tipperary,"€74,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2018,"15 RIVERBANK HALL, GLASNEVIN, DUBLIN 9",Dublin 11,Dublin,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2020,"20 ST FURSEY'S TERRACE, BLACKROCK, DUNDALK",,Louth,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2015,"Kylemore Estate Ard Na Gaoithe, Cashel Road, Clonmel",,Tipperary,"€1,151,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/08/2021,"4 THE PARK, EARLS COURT, KILL",,Kildare,"€268,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2018,"APT 39, ST CATHRYNS COURT, NEWGROVE AVE DUBLIN 4",Dublin 4,Dublin,"€840,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/02/2011,"Doolinstown, Trim",,Meath,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2021,"2 Whitethorn Way, Whitethorn Village, Naas",,Kildare,"€325,991.20",No,Yes,New Dwelling house /Apartment,
20/01/2020,"1 Churchfield Close, Killegland, Ashbourne",,Meath,"€348,017.61",No,Yes,New Dwelling house /Apartment,
12/04/2016,"13 Ard Na Coille, Mayfield",,Cork,"€229,074.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/11/2021,"19 COIS CAISLEAN, ATHBOY RD, DELVIN",,Westmeath,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2020,"25 CHAMBERS PARK, KILCOCK, KILDARE",,Kildare,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/04/2015,"KNOCKBALLINIRY, GOATENBRIDGE, ARDFINNAN",,Tipperary,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2012,"18 Supple Hall, Dunshaughlin",,Meath,"€67,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2020,"7 BEECHWOOD AVE, WATERFORD, WATERFORD",,Waterford,"€137,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2010,"107 St Brigids Place, Portlaoise",,Laois,"€52,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2020,"19 GLENVIEW RD, WICKLOW, WICKLOW",,Wicklow,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"APARTMENTs 2  3 and 4, MORRISTOWNBILLAR, NEWBRIDGE",,Kildare,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2015,"81 esker fields, ballinasloe, co.galway",,Galway,"€31,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/05/2016,"28 ORANGREEN, ORANHILL, ORANMORE",,Galway,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2019,"43 THE LODGE, ABBEYLANDS, CLANE",,Kildare,"€206,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2020,"BALLYEA NORTH, BALLINA, VIA KILLALOE",,Tipperary,"€362,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2021,"SCARABRAE, CORBAWN LANE, SHANKILL",,Dublin,"€690,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2018,"ARDSHERBEG, BALLYGLUNIN, TUAM",,Galway,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2020,"11 CASHEL HOUSE, KELLS ROAD, CO. KILKENNY",,Kilkenny,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2014,"8 THE DUNES, CASTLECOVE, ENNISCRONE",,Sligo,"€47,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2012,"Cotteenty, Corrandulla, Co. Galway",,Galway,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2012,"Lands at Cloncullen, Lands at Toorevagh",,Westmeath,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2011,"10 Oakwood, Glenconnor, Clonmel",,Tipperary,"€104,989.70",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
19/08/2015,"4 KILLEEN AVE, MALAHIDE, DUBLIN",,Dublin,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2016,"170 KILLARNEY PARK, BRAY, WICKLOW",,Wicklow,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2013,"453 Strand Road, Portmarnock",,Dublin,"€655,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2018,"14 HIGH ST, BALBRIGGAN, DUBLIN",,Dublin,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2019,"32 Millgate, Millerstown, Maynooth Road",,Meath,"€288,545.00",No,Yes,New Dwelling house /Apartment,
31/05/2019,"7 DROMARD RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2018,"18 FERGUS MANOR, CLON ROAD, ENNIS",,Clare,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2021,"1 MOY PARK, MAUDLIN, KELLS",,Meath,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/05/2019,"55 Hazel Glen, Hazel Brook, Spa Glen",,Cork,"€215,859.03",Yes,Yes,New Dwelling house /Apartment,
21/11/2016,"10 ARD CAOIN, CLONMEL, TIPPERARY",,Tipperary,"€160,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/06/2015,"49 THE WALLED GARDENS, CASTLETOWN ESTATE, CELBRIDGE",,Kildare,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2013,"Stycklepath, North Circular Road",,Limerick,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2011,"49 Francis Street, Drogheda",,Louth,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2016,"2 SPENCER HOUSE, CUSTOM HOUSE SQ, DUBLIN 1",Dublin 1,Dublin,"€2,812,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2019,"16 MARKET SQ, PORTLAW, WATERFORD",,Waterford,"€153,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2019,"38 GRATTAN LODGE, BALGRIFFIN, DUBLIN 13",Dublin 13,Dublin,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"107 River Crescent, Virginia",,Cavan,"€235,000.00",No,Yes,New Dwelling house /Apartment,
19/05/2021,"12 Chestnut Hill, Clonard, Wexford",,Wexford,"€303,965.00",No,Yes,New Dwelling house /Apartment,
05/11/2010,"12  Granary Court, St. Josephs Road, Cork",,Cork,"€78,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2017,"7 Castlegrange Court, Castlegrange, Dublin 15",Dublin 15,Dublin,"€259,911.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
02/07/2018,"20 THE GROVE, HAYDENS PARK, LUCAN",,Dublin,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2017,"8 GLEBE HALL, KILMESSAN, MEATH",,Meath,"€322,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2014,"Apt 439 Charlestown Centre, Charlestown Place, St Margaret's Road  Finglas",Dublin 11,Dublin,"€194,086.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2020,"7 BEACH VIEW, DEL VAL AVE, SUTTON DUBLIN 13",Dublin 13,Dublin,"€377,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2018,"10 KINGS CROFT, CAMUS RD, CASHEL",,Tipperary,"€183,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2018,"39 NEWRY RD, DUNDALK, LOUTH",,Louth,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2018,"4 OCONNELL COURT, OLD WATERFORD RD, CLONMEL",,Tipperary,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/04/2021,"60 BUTTERFIELD PARK, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2012,"5 Cormac Terrace, Terenure, Dublin 6W",Dublin 6w,Dublin,"€199,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2010,"APT 4  80 REUBEN STREET, RIALTO",,Dublin,"€184,250.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/01/2015,"AUGHA, BAGENALSTOWN, CARLOW",,Carlow,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2015,"ISAACSTOWN, RATHMOLYON, MEATH",,Meath,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2018,"17 HUNTSTOWN GLEN, MULHUDDART, DUBLIN",Dublin 15,Dublin,"€296,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2017,"38 DUKE ST, ATHY, KILDARE",,Kildare,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2018,"21 RUSHBROOKE MANOR, COBH, CORK",,Cork,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2019,"38 Fairbrook Lawn, Rathfarnham, Dublin 14",Dublin 14,Dublin,"€725,000.00",No,No,New Dwelling house /Apartment,
25/08/2021,"9 THE MAPLES, PEMBROKE WOOD, PASSAGE WEST",,Cork,"€312,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2019,"14 CAMAC VIEW, KILMAINHAM LANE, KILMAINHAM DUBLIN 8",Dublin 8,Dublin,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2017,"BOGTOWN ROAD, MAGHERACAR, BUNDORAN",,Donegal,"€10,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2020,"33 NEWBERRY GREEN, DROMAHANE, MALLOW",,Cork,"€152,500.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2021,"1 TULLYVARRAGA HEIGHTS, SHANNON, CLARE",,Clare,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2019,"House No. 83 Dundoogan (Sector 1), Haynestown, Dundalk",,Louth,"€237,826.34",No,Yes,New Dwelling house /Apartment,
27/02/2017,"DRUMMIN, TINAHELY, WICKLOW",,Wicklow,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2019,"LOSHT, DOOKS, GLENBEIGH",,Kerry,"€287,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2020,"88 Dun Eimear, Castlemartin Road, Bettystown",,Meath,"€259,911.00",No,Yes,New Dwelling house /Apartment,
